incident_entry_id,nearest_intersection,offense_category,year,neighborhood,longitude,latitude
1190494-4102,Linwood St & Pingree St,LIQUOR,2024,Virginia Park Community,-83.10558757,42.36867046
1187509-4102,Woodmere St & Inglis St,LIQUOR,2024,Springwells,-83.13257808,42.31670236
1182531-4102,E Jefferson Ave & Beaubien St,LIQUOR,2024,Downtown,-83.03983483,42.33087746
1087820-4102,8 Mile Rd & Livernois Ave,LIQUOR,2024,Green Acres,-83.14202968,42.44609136
1070832-4102,8 Mile Rd & Greeley St,LIQUOR,2024,Nolan,-83.08824945,42.44692617
1179107-4102,Omira St & E State Fair St,LIQUOR,2024,Nolan,-83.09618034,42.439724
1176259-4102,S Ethel St & S Bassett St,LIQUOR,2024,Boynton,-83.14489596,42.2758716
1168639-4102,Grand River Ave & Washburn St,LIQUOR,2024,Grand River-I96,-83.15980001,42.37713187
1163325-4102,E Jefferson Ave & Beaubien St,LIQUOR,2024,Downtown,-83.03983483,42.33087746
1099792-4102,E Jefferson Ave & Beaubien St,LIQUOR,2024,Downtown,-83.03983483,42.33087746
1160067-4102,Hawthorne St & E Grixdale Ave,LIQUOR,2024,Hawthorne Park,-83.09244074,42.42794279
1163319-4102,Montrose St & Grand River Ave,LIQUOR,2024,Grand River-St Marys,-83.20050216,42.393525
1158165-4102,Anvil St & 8 Mile Rd,LIQUOR,2024,Mohican Regent,-82.97832201,42.44947289
1158180-4102,8 Mile Rd & Redmond St,LIQUOR,2024,Regent Park,-82.95621485,42.45005576
1158177-4102,Strasburg St & 8 Mile Rd,LIQUOR,2024,Conner Creek,-82.99910213,42.44897818
1080673-4102,E 7 Mile Rd & Goulburn St,LIQUOR,2024,Pulaski,-82.99363864,42.43473868
1152369-4102,Gratiot Ave & Mapleridge St,LIQUOR,2024,Franklin,-82.98167882,42.42905261
1152370-4102,Gratiot Ave & Rossini Dr,LIQUOR,2024,Mohican Regent,-82.97221321,42.44341312
1152365-4102,Gratiot Ave & Liberal St,LIQUOR,2024,Regent Park,-82.97460713,42.43978209
1152234-4102,Gratiot Ave & Troester St,LIQUOR,2024,Mapleridge,-82.98356136,42.42620331
1129462-4102,Franklin St & Joseph Campau St,LIQUOR,2024,Rivertown,-83.01887422,42.33817347
1130831-4102,Atkinson St & Woodward Ave,LIQUOR,2024,North End,-83.08235992,42.38374203
1130423-4102,Burton St & Michigan Ave,LIQUOR,2024,Michigan-Martin,-83.12441787,42.33113878
1129444-4102,E Jefferson Ave & Van Dyke St,LIQUOR,2024,West Village,-82.9948853,42.3514066
1129442-4102,E Jefferson Ave & E Grand Blvd,LIQUOR,2024,Islandview,-83.00208337,42.34716667
1129441-4102,Mount Elliott St & Gratiot Ave,LIQUOR,2024,Gratiot-Grand,-83.02396669,42.36484425
1129439-4102,Crane St & Gratiot Ave,LIQUOR,2024,Gratiot Woods,-83.00989726,42.38608385
1129440-4102,Hill St & W McNichols Rd,LIQUOR,2024,Palmer Park,-83.11366389,42.41763503
1126651-4102,W 7 Mile Rd & Prest St,LIQUOR,2024,San Bernardo,-83.19868771,42.43045749
1123366-4102,W McNichols Rd & Whitcomb St,LIQUOR,2024,Winship,-83.19687228,42.41609694
1113369-4102,E 7 Mile Rd & Eureka St,LIQUOR,2024,Farwell,-83.05764745,42.43325919
1096875-4102,W 7 Mile Rd & Rosemont Ave,LIQUOR,2024,Evergreen-Outer Drive,-83.22174605,42.42997367
1087463-4102,Puritan St & Livernois Ave,LIQUOR,2024,Martin Park,-83.14043734,42.40991418
1087470-4102,Eaton St & Livernois Ave,LIQUOR,2024,Dexter-Fenkell,-83.14015227,42.3981436
1087471-4102,Tireman St & Livernois Ave,LIQUOR,2024,Midwest,-83.13570718,42.35208066
1085427-4102,Holborn St & Saginaw St,LIQUOR,2024,Poletown East,-83.03474454,42.3778736
1083024-4102,2nd Ave & W Baltimore St,LIQUOR,2024,Tech Town,-83.07558546,42.36709605
1078126-4102,Sussex St & W McNichols Rd,LIQUOR,2024,Winship,-83.19561571,42.41616205
1081810-4102,Hill St & W McNichols Rd,LIQUOR,2024,Palmer Park,-83.11366389,42.41763503
1081966-4102,Grand River Ave & Patton St,LIQUOR,2024,McNichols Evergreen,-83.24426001,42.41114432
1078129-4102,Stout St & W 7 Mile Rd,LIQUOR,2024,Evergreen Lahser 7/8,-83.24309419,42.4294814
1078112-4102,W McNichols Rd & Ashton Ave,LIQUOR,2024,Evergreen-Outer Drive,-83.2200839,42.41554116
1078120-4102,W McNichols Rd & Asbury Park,LIQUOR,2024,College Park,-83.20903809,42.41577116
1078111-4102,Cooley St & W 7 Mile Rd,LIQUOR,2024,Berg-Lahser,-83.25962873,42.42912723
1070833-4102,8 Mile Rd & Hubbell,LIQUOR,2024,,-83.19073108,42.44500726
1070846-4102,8 Mile Rd & Redmond St,LIQUOR,2024,Regent Park,-82.95621485,42.45005576
